rating_cat,budget,revenue,profit,vote_count
Bueno,30691220.933971774,87948383.67489919,57257162.74092742,650.9894153225806
Excelente,22527068.211764704,159668461.85882354,137141393.6470588,2811.9529411764706
Malo,15000562.331439395,15945308.5,944746.1685606061,108.96022727272727
Muy Bueno,30029553.9944629,129663967.15614618,99634413.16168328,1343.4163898117386
Regular,31972493.646968532,62571565.42210284,30599071.775134306,394.39907904834996
