,budget,revenue,profit,vote_average,vote_count,runtime,popularity
budget,1.0,0.730822856924464,0.5758522080270079,0.09314574534816306,0.5931803381308591,0.26985137798455106,0.5054139990665325
revenue,0.730822856924464,1.0,0.978881353325976,0.19714966581130836,0.7814873262101979,0.25109313621155904,0.644723504555998
profit,0.5758522080270079,0.978881353325976,1.0,0.20824140914788322,0.758378925396988,0.21992806240367416,0.620854320301483
vote_average,0.09314574534816306,0.19714966581130836,0.20824140914788322,1.0,0.3129974039957587,0.37504568036518865,0.2739518286190272
vote_count,0.5931803381308591,0.7814873262101979,0.758378925396988,0.3129974039957587,1.0,0.27194419845005036,0.7781298890348525
runtime,0.26985137798455106,0.25109313621155904,0.21992806240367416,0.37504568036518865,0.27194419845005036,1.0,0.22550205846049795
popularity,0.5054139990665325,0.644723504555998,0.620854320301483,0.2739518286190272,0.7781298890348525,0.22550205846049795,1.0
