budget_cat,budget,revenue,profit,roi,vote_average
Alto,67093961.32935917,161053695.46348733,93959734.13412817,136.83989341395142,6.136661698956781
Bajo,1871437.6617862373,11890064.130307468,10018626.46852123,465222.5217118389,5.9403123474865795
Blockbuster,148032812.509375,450910727.71875,302877915.209375,196.96693845450037,6.355625
Medio,24548044.638116848,67145004.8298355,42596960.19171866,192.71669536661042,6.2039137833238795
